PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2016,40,1.2019,1.27386,3110,2114,X,4169,828,643,10864,1946,852842
National,X,2016,41,1.23108,1.29342,3207,2155,X,4078,879,678,10997,1973,850228
National,X,2016,42,1.26796,1.33097,3564,2234,X,4452,981,695,11926,1983,896035
National,X,2016,43,1.36298,1.42662,3786,2406,X,4769,987,700,12648,2006,886570
National,X,2016,44,1.48535,1.57071,4314,2444,X,5287,1030,715,13790,1999,877947
National,X,2016,45,1.55954,1.65146,4703,2549,X,5193,1055,758,14258,1990,863356
National,X,2016,46,1.64783,1.73309,4979,2659,X,5610,1083,829,15160,2000,874739
National,X,2016,47,1.91275,2.03388,5032,2634,X,4567,1108,867,14208,2011,698566
National,X,2016,48,1.81725,1.88331,5209,3326,X,5655,1359,1056,16605,2001,881694
National,X,2016,49,1.91433,2.00292,5501,3188,X,5812,1413,1047,16961,2013,846813
National,X,2016,50,2.21003,2.27731,5744,3491,X,6724,1485,1019,18463,2000,810736
National,X,2016,51,2.73568,2.91465,6653,4099,X,7469,1923,1421,21565,1977,739882
National,X,2016,52,3.36832,3.54919,7712,5247,X,7144,2652,2145,24900,1928,701569
National,X,2017,1,3.09689,3.08102,6716,5673,X,6786,2773,2230,24178,2024,784740
National,X,2017,2,3.07346,3.01875,6020,5313,X,8843,2639,2082,24897,1997,824746
National,X,2017,3,3.51643,3.40446,6399,5588,X,12147,2717,1930,28781,2029,845391
National,X,2017,4,3.8027,3.52869,6958,5788,X,14073,2623,1823,31265,2021,886023
National,X,2017,5,4.50313,4.10665,7452,6522,X,17482,2968,2093,36517,2024,889216
National,X,2017,6,5.06308,4.7551,8110,8235,X,20150,3749,2646,42890,2027,901978
National,X,2017,7,4.86009,4.65163,7726,8328,X,18692,3652,2637,41035,1967,882163
National,X,2017,8,4.57916,4.57049,7649,8560,X,17300,3807,2808,40124,1987,877892
National,X,2017,9,3.55674,3.45522,6129,6496,X,12394,2983,2181,30183,1995,873547
National,X,2017,10,3.50417,3.29505,5854,5970,X,11552,2766,1918,28060,1971,851580
National,X,2017,11,3.21511,3.16426,5503,5535,X,10084,2582,1780,25484,1958,805370
National,X,2017,12,3.10088,3.14433,5514,5858,X,11503,2641,1838,27354,1940,869946
National,X,2017,13,2.79056,2.87936,5145,5070,X,10149,2354,1624,24342,1899,845397
National,X,2017,14,2.38547,2.36977,4488,3918,X,8178,1760,1333,19677,1906,830332
National,X,2017,15,1.9703,1.93853,3909,3151,X,5847,1470,1171,15548,1861,802052
National,X,2017,16,1.73442,1.64064,3306,2766,X,4683,1258,993,13006,1845,792740
National,X,2017,17,1.56303,1.4752,2997,2391,X,4497,1111,928,11924,1846,808298
National,X,2017,18,1.4128,1.37755,2890,2039,X,4105,1011,717,10762,1795,781240
National,X,2017,19,1.27492,1.33771,2751,2037,X,3831,862,721,10202,1767,762648
National,X,2017,20,1.2834,1.34686,2685,2011,X,3518,886,709,9809,1746,728288
National,X,2017,21,1.16663,1.26579,2341,1745,X,3060,771,647,8564,1614,676574
National,X,2017,22,1.10977,1.25701,2311,1577,X,2575,710,583,7756,1569,617021
National,X,2017,23,1.04333,1.16048,2412,1459,X,2377,671,591,7510,1493,647145
National,X,2017,24,0.905151,1.04834,2049,1346,X,2099,595,547,6636,1470,633003
National,X,2017,25,0.902718,0.992711,1930,1282,X,1971,559,498,6240,1469,628582
National,X,2017,26,0.859531,0.961603,1771,1121,X,1748,489,467,5596,1422,581945
National,X,2017,27,0.818998,0.955818,1728,1111,X,1564,505,418,5326,1456,557219
National,X,2017,28,0.752505,0.827597,1545,1004,X,1578,462,372,4961,1405,599446
National,X,2017,29,0.731146,0.811886,1549,908,X,1421,450,419,4747,1384,584688
National,X,2017,30,0.733295,0.818527,1576,953,X,1515,459,376,4879,1377,596071
National,X,2017,31,0.73102,0.829758,1529,1037,X,1485,415,433,4899,1390,590413
National,X,2017,32,0.68834,0.828503,1559,1044,X,1481,441,390,4915,1386,593239
National,X,2017,33,0.732049,0.885896,1603,1097,X,1691,427,412,5230,1350,590363
National,X,2017,34,0.911188,1.05351,1964,1256,X,2549,473,411,6653,1379,631507
National,X,2017,35,1.02105,1.11768,2076,1302,X,2726,526,503,7133,1370,638196
National,X,2017,36,1.09495,1.14028,2073,1369,X,2488,587,555,7072,1384,620201
National,X,2017,37,1.09475,1.13326,2372,1656,X,2942,706,628,8304,1485,732755
National,X,2017,38,1.09775,1.17589,2544,1625,X,3075,664,655,8563,1484,728214
National,X,2017,39,1.18882,1.23848,2840,1652,X,3201,746,640,9079,1468,733077
National,X,2017,40,1.26682,1.28278,3844,2486,X,4553,1072,875,12830,2205,1000168
National,X,2017,41,1.30662,1.33419,4120,2676,X,4453,1073,947,13269,2233,994535
National,X,2017,42,1.34866,1.41293,4409,2804,X,4993,1139,974,14319,2254,1013427
National,X,2017,43,1.51871,1.57884,5003,2921,X,5529,1324,1049,15826,2251,1002381
National,X,2017,44,1.74793,1.70723,5219,3289,X,6133,1365,1062,17068,2213,999750
National,X,2017,45,1.87047,1.86372,6108,3609,X,6625,1523,1129,18994,2278,1019146
National,X,2017,46,2.06674,2.09726,6805,4200,X,7478,1778,1354,21615,2281,1030631
National,X,2017,47,2.28188,2.34372,6945,3844,X,5876,1707,1445,19817,2264,845535
National,X,2017,48,2.28528,2.24895,7008,5235,X,7476,2206,1830,23755,2274,1056270
National,X,2017,49,2.5848,2.49852,7230,5050,X,8491,2338,1870,24979,2263,999753
National,X,2017,50,3.36711,3.20443,8297,6671,X,11277,2955,2333,31533,2255,984043
National,X,2017,51,4.71836,4.4305,10464,9836,X,14164,4578,3622,42664,2204,962961
National,X,2017,52,5.72036,5.46448,11301,11373,X,11509,5723,5080,44986,2122,823244
National,X,2018,1,5.77543,5.37416,9426,13370,X,11748,6868,5870,47282,2235,879802
National,X,2018,2,5.9083,5.54335,10082,15400,X,17403,7791,6246,56922,2251,1026852
National,X,2018,3,6.49095,6.34203,12004,15973,X,21873,7536,5551,62937,2277,992379
National,X,2018,4,7.17799,7.04897,13432,18349,X,30671,8925,6091,77468,2279,1098998
National,X,2018,5,7.52851,7.79783,14854,19095,X,37252,8929,5965,86095,2265,1104089
National,X,2018,6,7.38424,7.78892,15192,19505,X,38457,8621,5871,87646,2290,1125265
National,X,2018,7,6.46068,6.83583,13340,17163,X,31984,8070,5430,75987,2215,1111598
National,X,2018,8,4.95341,5.17354,10142,12428,X,20394,5808,4189,52961,2259,1023689
National,X,2018,9,3.67274,3.55184,7190,8445,X,13370,4081,2846,35932,2194,1011645
National,X,2018,10,3.2037,3.01348,6357,6483,X,10841,3139,2289,29109,2203,965961
National,X,2018,11,2.78869,2.73862,5590,5925,X,9479,2813,2121,25928,2188,946753
National,X,2018,12,2.50234,2.48438,5212,5406,X,8635,2563,1969,23785,2168,957380
National,X,2018,13,2.41065,2.36593,4722,4720,X,7216,2295,1743,20696,2131,874750
National,X,2018,14,2.07542,2.03306,4550,4452,X,6211,2158,1696,19067,2117,937849
National,X,2018,15,1.78234,1.8062,4148,3749,X,5508,1818,1449,16672,2076,923041
National,X,2018,16,1.61608,1.58958,3859,3216,X,5269,1432,1116,14892,2103,936850
National,X,2018,17,1.53992,1.54077,3725,3030,X,5343,1373,1101,14572,2079,945759
National,X,2018,18,1.53115,1.45326,3656,2600,X,4810,1215,992,13273,2005,913326
National,X,2018,19,1.29599,1.28242,3443,2205,X,4132,935,902,11617,1922,905868
National,X,2018,20,1.18904,1.2243,3359,2238,X,3766,905,799,11067,1966,903948
National,X,2018,21,1.24941,1.23385,3384,2082,X,3429,885,866,10646,1883,862825
National,X,2018,22,1.14134,1.22391,3222,1824,X,2982,846,734,9608,1789,785022
National,X,2018,23,0.988567,1.04866,2845,1836,X,2551,802,654,8688,1783,828488
National,X,2018,24,0.895433,0.979381,2375,1596,X,2242,699,658,7570,1738,772937
National,X,2018,25,0.892227,0.94819,2313,1554,X,2161,730,616,7374,1759,777692
National,X,2018,26,0.877636,0.867741,2201,1530,X,1906,669,626,6932,1720,798856
National,X,2018,27,0.77502,0.822957,2000,1299,X,1862,539,549,6249,1764,759335
National,X,2018,28,0.725956,0.772384,1945,1443,X,1900,627,587,6502,1769,841809
National,X,2018,29,0.68266,0.707466,1741,1290,X,1720,566,469,5786,1732,817849
National,X,2018,30,0.640527,0.686508,1665,1202,X,1643,523,463,5496,1728,800573
National,X,2018,31,0.64106,0.68859,1620,1246,X,1772,525,454,5617,1708,815725
National,X,2018,32,0.706465,0.736093,1727,1334,X,1786,541,476,5864,1670,796639
National,X,2018,33,0.708668,0.806323,1989,1387,X,2172,516,478,6542,1705,811337
National,X,2018,34,0.825743,0.954211,2237,1488,X,2467,602,515,7309,1601,765973
National,X,2018,35,0.864409,0.962249,2447,1637,X,2836,655,542,8117,1661,843545
National,X,2018,36,1.10114,1.14153,2817,1985,X,3346,767,621,9536,1693,835370
National,X,2018,37,1.15244,1.14726,2774,2112,X,3659,829,689,10063,1689,877135
National,X,2018,38,1.20257,1.31197,3242,2347,X,3950,922,729,11190,1666,852916
National,X,2018,39,1.25033,1.37701,3471,2464,X,4185,925,669,11714,1694,850685
National,X,2018,40,1.41846,1.42429,4857,3839,X,6300,1553,1290,17839,2565,1252483
National,X,2018,41,1.40418,1.48151,5307,4026,X,6250,1657,1321,18561,2609,1252846
National,X,2018,42,1.47401,1.59449,5582,4399,X,6799,1752,1398,19930,2586,1249933
National,X,2018,43,1.64257,1.72683,6242,4617,X,7478,1835,1444,21616,2646,1251776
National,X,2018,44,1.79275,1.84522,6864,4730,X,8285,1825,1450,23154,2633,1254812
National,X,2018,45,1.87043,1.93069,7504,4831,X,8448,1840,1450,24073,2645,1246860
National,X,2018,46,1.98387,2.09114,7805,5017,X,8050,1995,1480,24347,2631,1164292
National,X,2018,47,2.24169,2.41082,8598,5011,X,7193,2111,1699,24612,2586,1020898
National,X,2018,48,2.14883,2.25019,8885,6576,X,8787,2756,2076,29080,2640,1292335
National,X,2018,49,2.25531,2.30458,8803,5969,X,9269,2454,1861,28356,2633,1230419
National,X,2018,50,2.64571,2.73758,10150,6819,X,11373,2776,1980,33098,2622,1209022
National,X,2018,51,3.14075,3.24643,11507,8119,X,12811,3320,2479,38236,2571,1177786
National,X,2018,52,3.97127,4.19267,13586,10315,X,12026,4454,3523,43904,2545,1047161
National,X,2019,1,3.46125,3.63499,11675,11402,X,9557,5200,4260,42094,2609,1158023
National,X,2019,2,3.07707,3.14077,9344,10401,X,10744,4820,3443,38752,2629,1233836
National,X,2019,3,3.32915,3.36551,9668,10024,X,14248,4226,2943,41109,2633,1221478
National,X,2019,4,3.81999,3.89305,10728,11164,X,16925,4443,2853,46113,2614,1184495
National,X,2019,5,4.3419,4.5253,11606,13032,X,22188,5110,3251,55187,2639,1219521
National,X,2019,6,4.88288,5.21525,13828,15708,X,29688,6134,4084,69442,2644,1331519
National,X,2019,7,5.04211,5.43173,14224,15928,X,29223,6329,4274,69978,2628,1288318
National,X,2019,8,4.88596,5.2776,13612,15684,X,26456,6115,4478,66345,2623,1257106
National,X,2019,9,4.5499,4.59585,11622,13833,X,23450,5699,4131,58735,2634,1278001
National,X,2019,10,4.38001,4.40341,11146,13058,X,21736,5356,4052,55348,2614,1256934
National,X,2019,11,4.2288,4.13279,10975,12570,X,20065,5347,4176,53133,2622,1285646
National,X,2019,12,3.68449,3.56166,9559,10484,X,16537,4431,3775,44786,2596,1257449
National,X,2019,13,3.08744,3.05634,8621,8631,X,13608,3801,3183,37844,2587,1238213
National,X,2019,14,2.69971,2.68251,7591,7486,X,11757,3271,2800,32905,2597,1226648
National,X,2019,15,2.28549,2.26747,6739,6198,X,9988,2561,2317,27803,2542,1226170
National,X,2019,16,2.01443,1.96931,6319,4930,X,7894,2105,1874,23122,2517,1174114
National,X,2019,17,1.7141,1.72372,5689,4545,X,6617,1997,1735,20583,2490,1194101
National,X,2019,18,1.56927,1.57693,5362,4080,X,6203,1666,1537,18848,2459,1195232
National,X,2019,19,1.49991,1.46086,4785,3572,X,5903,1479,1357,17096,2415,1170273
National,X,2019,20,1.50211,1.50759,4614,3458,X,5488,1433,1356,16349,2302,1084443
National,X,2019,21,1.42357,1.40452,4597,3211,X,5227,1345,1367,15747,2205,1121166
National,X,2019,22,1.39457,1.40617,4437,3094,X,4659,1279,1301,14770,2179,1050372
National,X,2019,23,1.21776,1.23921,3930,2948,X,4110,1240,1205,13433,2235,1083994
National,X,2019,24,1.11351,1.10622,3350,2606,X,3607,1007,1048,11618,2139,1050239
National,X,2019,25,0.992293,1.01351,3046,2424,X,3282,998,928,10678,2141,1053569
National,X,2019,26,0.947072,0.959926,2940,2175,X,3106,906,859,9986,2063,1040288
National,X,2019,27,0.876088,0.873735,2433,1884,X,2676,788,768,8549,2111,978443
National,X,2019,28,0.809956,0.795831,2344,1882,X,2660,799,737,8422,2090,1058265
National,X,2019,29,0.755431,0.768849,2219,1861,X,2570,757,704,8111,2132,1054954
National,X,2019,30,0.73346,0.748185,2128,1800,X,2451,761,615,7755,2117,1036508
National,X,2019,31,0.72729,0.758451,2348,1829,X,2436,658,603,7874,2128,1038168
National,X,2019,32,0.754637,0.77011,2089,2041,X,2384,766,758,8038,2146,1043747
National,X,2019,33,0.730938,0.834825,2630,2047,X,2828,788,694,8987,2178,1076513
National,X,2019,34,0.840615,0.942052,2907,2210,X,3501,762,716,10096,2147,1071703
National,X,2019,35,0.989217,1.07895,3394,2539,X,4220,894,770,11817,2169,1095230
National,X,2019,36,1.14059,1.20634,3801,2924,X,4535,1030,868,13158,2189,1090741
National,X,2019,37,1.23272,1.2757,3905,3296,X,5499,1172,959,14831,2221,1162580
National,X,2019,38,1.24529,1.39156,4463,3567,X,5673,1249,1025,15977,2198,1148137
National,X,2019,39,1.33771,1.49698,4970,3875,X,6104,1365,1100,17414,2180,1163278
National,X,2019,40,1.49064,1.50415,6218,4827,X,7658,1764,1448,21915,2896,1456967
National,X,2019,41,1.59269,1.59823,6550,5147,X,7638,2015,1603,22953,2924,1436150
National,X,2019,42,1.72517,1.73838,7273,5548,X,8277,2110,1649,24857,2950,1429897
National,X,2019,43,1.83428,1.8605,7892,6080,X,9349,2305,1793,27419,2980,1473740
National,X,2019,44,2.04049,2.01425,8658,6143,X,10068,2279,1762,28910,2989,1435277
National,X,2019,45,2.39351,2.36364,10557,7182,X,12551,2453,1843,34586,3007,1463253
National,X,2019,46,2.63245,2.64431,11446,7904,X,13671,2739,1968,37728,2976,1426760
National,X,2019,47,2.91944,2.97548,12714,9138,X,17049,3099,2148,44148,2971,1483729
National,X,2019,48,3.41066,3.44787,14389,9159,X,14717,3186,2366,43817,2971,1270842
National,X,2019,49,3.2622,3.31577,13839,11943,X,16389,3929,2777,48877,2977,1474075
National,X,2019,50,3.94308,3.86928,14728,12822,X,21877,4114,2903,56444,2947,1458774
National,X,2019,51,5.06529,5.02757,17999,16225,X,29177,4834,3349,71584,2913,1423829
National,X,2019,52,7.06161,7.15315,24097,24617,X,34004,7638,5401,95757,2905,1338669
National,X,2020,1,5.91974,6.22926,21564,27650,X,23383,9208,6876,88681,2957,1423620
National,X,2020,2,4.94176,5.06974,15547,23631,X,22747,8196,5464,75585,2987,1490905
National,X,2020,3,5.33174,5.35782,16587,21395,X,29657,7379,4728,79746,2983,1488404
National,X,2020,4,6.08106,6.0261,18558,23657,X,35216,7971,4670,90072,2984,1494697
National,X,2020,5,6.74724,6.87271,20299,28889,X,44117,9527,5475,108307,2984,1575900
National,X,2020,6,6.7998,7.08261,20270,29790,X,45491,10036,5702,111289,2994,1571300
National,X,2020,7,6.11292,6.22068,17393,26428,X,36909,9231,5457,95418,2958,1533883
National,X,2020,8,5.55671,5.62148,15233,22908,X,28328,8221,5142,79832,2909,1420123
National,X,2020,9,5.12279,5.10226,13817,22125,X,25487,8273,5107,74809,2934,1466192
National,X,2020,10,5.26652,5.28928,13888,23906,X,26396,8891,5698,78779,2901,1489410
National,X,2020,11,5.67081,6.29229,14149,29657,X,27752,11327,6686,89571,2836,1423503
National,X,2020,12,6.38029,7.35285,10790,30818,X,17512,12478,6986,78584,2798,1068755
National,X,2020,13,4.91692,6.22687,5129,22408,X,8322,10825,6458,53142,2727,853431
National,X,2020,14,3.78625,4.82995,2359,14964,X,4852,8696,5380,36251,2684,750546
National,X,2020,15,2.80122,3.47366,1496,9995,X,3426,6043,4014,24974,2686,718953
National,X,2020,16,2.12879,2.57382,1068,7423,X,2666,4182,2926,18265,2666,709645
National,X,2020,17,1.73315,2.02032,926,6339,X,2317,3289,2293,15164,2652,750576
National,X,2020,18,1.40932,1.62094,864,5291,X,2098,2668,1896,12817,2624,790715
National,X,2020,19,1.18336,1.35262,729,4585,X,1889,2241,1622,11066,2611,818113
National,X,2020,20,1.11451,1.23819,788,4112,X,1960,2171,1449,10480,2601,846400
National,X,2020,21,1.00534,1.07598,1224,4375,X,2402,2148,1586,11735,2971,1090638
National,X,2020,22,0.88827,0.885843,805,3572,X,1898,1878,1461,9614,2950,1085294
National,X,2020,23,0.814062,0.819928,802,3440,X,1969,1705,1409,9325,2931,1137295
National,X,2020,24,0.836751,0.814575,881,3454,X,2141,1726,1378,9580,2902,1176074
National,X,2020,25,0.928456,0.950979,1006,4709,X,2679,2001,1471,11866,2935,1247767
National,X,2020,26,1.14217,1.20306,1216,6241,X,3491,2649,1902,15499,2896,1288294
National,X,2020,27,1.27401,1.38424,1395,7032,X,3970,3223,2223,17843,2897,1289006
National,X,2020,28,1.34951,1.47311,1545,8010,X,4094,3765,2632,20046,2918,1360798
National,X,2020,29,1.34471,1.43761,1658,7526,X,4075,3565,2436,19260,2894,1339726
National,X,2020,30,1.22153,1.21898,1634,6105,X,3560,3089,2145,16533,2953,1356301
National,X,2020,31,1.15258,1.15067,1609,5709,X,3497,2595,2114,15524,2992,1349125
National,X,2020,32,1.0626,1.05662,1570,4977,X,3271,2361,1938,14117,2956,1336052
National,X,2020,33,0.979884,0.981699,1592,4502,X,3167,2174,1758,13193,2978,1343895
National,X,2020,34,0.969202,0.961833,1804,4305,X,3283,1894,1666,12952,2930,1346595
National,X,2020,35,1.00022,0.970543,1866,4032,X,3951,1821,1489,13159,2967,1355839
National,X,2020,36,0.920817,0.919002,1759,3773,X,3609,1696,1479,12316,2921,1340149
National,X,2020,37,1.0355,0.978032,1999,3975,X,3822,1793,1446,13035,2915,1332779
National,X,2020,38,0.974333,0.955677,2070,4070,X,3628,1794,1487,13049,2943,1365420
National,X,2020,39,1.06462,1.03845,2286,4412,X,4366,1944,1578,14586,2941,1404590
National,X,2020,40,1.09211,1.08024,2454,5091,X,4715,2362,1844,16466,3246,1524289
National,X,2020,41,1.21201,1.19451,2558,6023,X,5239,3004,2320,19144,3318,1602667
National,X,2020,42,1.11151,1.09796,2313,5661,X,4613,2547,2101,17235,3301,1569727
National,X,2020,43,1.18662,1.15393,2454,5850,X,4834,2821,2174,18133,3330,1571417
National,X,2020,44,1.25262,1.18924,2512,6082,X,4916,2752,2292,18554,3421,1560158
National,X,2020,45,1.44427,1.33759,2726,7084,X,5825,3282,2453,21370,3425,1597645
National,X,2020,46,1.48969,1.37845,2776,7677,X,5544,3728,2873,22598,3391,1639379
National,X,2020,47,1.56064,1.43236,2692,7824,X,5342,3956,2895,22709,3334,1585429
National,X,2020,48,1.61944,1.49959,2484,7091,X,4584,3962,3192,21313,3333,1421255
National,X,2020,49,1.57347,1.44967,2597,7682,X,4861,3976,3135,22251,3339,1534905
National,X,2020,50,1.51939,1.42617,2504,7519,X,4692,4067,3321,22103,3358,1549810
National,X,2020,51,1.50599,1.39797,2482,7124,X,4282,3841,3145,20874,3299,1493163
National,X,2020,52,1.55485,1.45725,2323,6627,X,3564,3918,3404,19836,3301,1361197
National,X,2020,53,1.58903,1.53781,2583,7723,X,3933,4516,3668,22423,3280,1458113
National,X,2021,1,1.47519,1.4348,2414,7976,X,4549,4359,3413,22711,3316,1582870
National,X,2021,2,1.28752,1.2606,2297,6396,X,3975,3520,2830,19018,3278,1508647
National,X,2021,3,1.25172,1.21098,2566,5876,X,4056,3310,2542,18350,3315,1515305
National,X,2021,4,1.10177,1.12283,2558,5345,X,3953,2803,2237,16896,3324,1504764
National,X,2021,5,1.16565,1.08237,2636,4995,X,4015,2525,1927,16098,3295,1487296
National,X,2021,6,1.00609,0.975086,2552,4096,X,3730,2129,1572,14079,3246,1443873
National,X,2021,7,0.986101,0.907555,2318,3708,X,3144,1918,1503,12591,3256,1387354
National,X,2021,8,0.864388,0.860857,2543,3839,X,3541,1900,1521,13344,3276,1550083
National,X,2021,9,0.828056,0.842356,2771,3532,X,3540,1810,1347,13000,3278,1543291
National,X,2021,10,0.882103,0.902897,3218,3781,X,3806,1901,1371,14077,3284,1559093
National,X,2021,11,0.908033,0.939382,3514,3936,X,3856,1909,1359,14574,3227,1551445
National,X,2021,12,0.947577,0.96011,3817,4214,X,3915,2054,1354,15354,3201,1599192
National,X,2021,13,0.975225,0.998141,4116,4394,X,4089,2129,1265,15993,3257,1602279
National,X,2021,14,1.06101,1.07796,4731,5048,X,4685,2281,1355,18100,3277,1679101
National,X,2021,15,1.08091,1.1089,5227,5290,X,4907,2358,1383,19165,3282,1728295
National,X,2021,16,1.10326,1.1502,5763,4858,X,5093,2140,1451,19305,3248,1678407
National,X,2021,17,1.13361,1.1834,6326,4810,X,5503,2042,1418,20099,3256,1698411
National,X,2021,18,1.14992,1.20915,6822,4617,X,5401,1802,1288,19930,3227,1648268
National,X,2021,19,1.19092,1.25462,7365,4362,X,5491,1841,1308,20367,3214,1623366
National,X,2021,20,1.24677,1.26333,8352,4421,X,5414,1742,1333,21262,3193,1683010
National,X,2021,21,1.14504,1.19095,7953,3990,X,4967,1590,1175,19675,3141,1652047
National,X,2021,22,1.18454,1.25187,8502,3975,X,4854,1572,1240,20143,3140,1609033
National,X,2021,23,1.12943,1.14521,8096,3692,X,4645,1527,1222,19182,3110,1674977
National,X,2021,24,1.18866,1.18174,8503,3785,X,4594,1508,1189,19579,3068,1656791
National,X,2021,25,1.21202,1.21001,8514,3814,X,4609,1652,1301,19890,3057,1643793
National,X,2021,26,1.21342,1.21283,8369,4003,X,4757,1672,1291,20092,3055,1656615
National,X,2021,27,1.26676,1.32905,8719,4859,X,5309,1976,1508,22371,3055,1683237
National,X,2021,28,1.38728,1.44269,9193,6029,X,5930,2399,1710,25261,3067,1750965
National,X,2021,29,1.6475,1.70926,10371,7958,X,7170,2897,2149,30545,3067,1787028
National,X,2021,30,1.80199,1.91065,11132,9249,X,8572,3614,2628,35195,3050,1842048
National,X,2021,31,1.94952,2.05206,11102,10544,X,8900,4327,2883,37756,3050,1839909
National,X,2021,32,2.03548,2.15548,11264,11226,X,10105,4555,2917,40067,3042,1858843
National,X,2021,33,2.1918,2.30581,11801,11013,X,12275,4739,2893,42721,3029,1852756
National,X,2021,34,2.23897,2.30752,11982,10382,X,13529,4339,2826,43058,3028,1865986
National,X,2021,35,2.26643,2.25253,11745,9557,X,13053,3886,2623,40864,3027,1814136
National,X,2021,36,2.21298,2.21275,11705,9088,X,12250,3733,2645,39421,3021,1781535
National,X,2021,37,2.045,2.00464,11248,7774,X,11578,3289,2304,36193,3059,1805463
National,X,2021,38,1.90124,1.93759,10916,6853,X,11380,2765,2062,33976,3037,1753523
National,X,2021,39,1.8442,1.84367,10133,5627,X,10040,2315,1834,29949,2877,1624427
National,X,2021,40,2.04946,1.96951,13140,7466,X,13154,3201,2574,39535,3501,2007349
National,X,2021,41,1.95317,1.90695,13072,7120,X,11985,2975,2486,37638,3510,1973726
National,X,2021,42,1.92693,1.86187,12500,6458,X,11458,2943,2355,35714,3474,1918176
National,X,2021,43,1.97792,1.89376,12859,6677,X,11888,2853,2362,36639,3509,1934723
National,X,2021,44,2.14051,2.08777,13304,6968,X,14454,2930,2374,40030,3515,1917361
National,X,2021,45,2.26691,2.22941,14565,7836,X,15840,3192,2730,44163,3530,1980931
National,X,2021,46,2.41002,2.35687,14740,8523,X,17358,3639,2816,47076,3526,1997393
National,X,2021,47,2.51362,2.45867,14918,8183,X,13401,3719,3103,43324,3519,1762089
National,X,2021,48,2.56387,2.56351,15167,11304,X,17353,4893,4012,52729,3545,2056903
National,X,2021,49,2.74219,2.71846,14971,11373,X,19971,4863,3891,55069,3544,2025745
National,X,2021,50,3.1546,3.09823,16287,13615,X,23450,5232,3961,62545,3518,2018736
National,X,2021,51,4.007,4.07867,18515,22557,X,25073,7773,5307,79225,3496,1942424
National,X,2021,52,4.89397,5.06901,24109,38300,X,28952,13512,8989,113862,3455,2246237
National,X,2022,1,4.29914,4.28066,17044,31478,X,24738,12063,7939,93262,3487,2178681
National,X,2022,2,3.50099,3.41579,12223,21830,X,20214,8735,6181,69183,3499,2025389
National,X,2022,3,2.77457,2.67796,9492,15006,X,13268,6185,4547,48498,3503,1811003
National,X,2022,4,2.05464,1.97776,7309,9877,X,9526,4582,3516,34810,3485,1760073
National,X,2022,5,1.66744,1.56091,6082,6431,X,7748,3018,2552,25831,3415,1654872
National,X,2022,6,1.43558,1.34542,6395,5170,X,7610,2401,2155,23731,3474,1763832
National,X,2022,7,1.48076,1.37085,6917,4645,X,8500,2083,1801,23946,3474,1746795
National,X,2022,8,1.46137,1.37026,7057,4638,X,8330,1816,1768,23609,3472,1722955
National,X,2022,9,1.57063,1.42301,7423,5008,X,9830,1864,1676,25801,3470,1813130
National,X,2022,10,1.69692,1.54683,8210,5060,X,11085,1951,1771,28077,3485,1815133
National,X,2022,11,1.83274,1.67881,9042,5914,X,12124,2202,2077,31359,3454,1867926
National,X,2022,12,1.88031,1.73443,9302,5973,X,12648,2334,2166,32423,3449,1869370
National,X,2022,13,1.99637,1.85462,9613,6759,X,13660,2384,2406,34822,3443,1877580
National,X,2022,14,2.10974,1.99404,10562,7272,X,15187,2573,2550,38144,3453,1912899
National,X,2022,15,2.18573,2.12964,11336,7838,X,16095,2868,2829,40966,3446,1923613
National,X,2022,16,2.21825,2.1833,11734,8315,X,15748,3172,3117,42086,3457,1927635
National,X,2022,17,2.31926,2.21509,12070,8422,X,16372,3274,3282,43420,3426,1960190
National,X,2022,18,2.38743,2.4143,12835,9402,X,18631,3608,3323,47799,3394,1979830
National,X,2022,19,2.5726,2.60892,14243,10135,X,19989,3843,3815,52025,3376,1994121
National,X,2022,20,2.46368,2.60434,15055,10460,X,20746,3985,3835,54081,3414,2076569
National,X,2022,21,2.39323,2.66831,14561,10167,X,19982,4010,3665,52385,3351,1963229
National,X,2022,22,2.42307,2.64646,15809,10584,X,17507,4060,3903,51863,3345,1959711
National,X,2022,23,2.15926,2.29329,14154,9654,X,13726,3941,3765,45240,3342,1972714
National,X,2022,24,1.98659,2.0741,12858,8941,X,11205,3665,3581,40250,3302,1940597
National,X,2022,25,1.87626,1.91807,11865,8676,X,9933,3736,3620,37830,3355,1972297
National,X,2022,26,1.80173,1.80208,11066,8004,X,8513,3523,3460,34566,3237,1918113
National,X,2022,27,1.81325,1.79307,10580,8380,X,8593,3697,3733,34983,3345,1951013
National,X,2022,28,1.67273,1.66869,9525,8324,X,8111,3546,3505,33011,3313,1978256
National,X,2022,29,1.65436,1.64913,9361,8219,X,8116,3483,3432,32611,3313,1977461
National,X,2022,30,1.66503,1.64799,9153,8056,X,7859,3485,3487,32040,3289,1944189
National,X,2022,31,1.52846,1.5292,8659,7295,X,7476,3104,3107,29641,3305,1938338
